treatment,conversion,active_days,gender,age,time_spent_in_app,used_discount,used_bogo,channel_Web,channel_phone,hours_listening,yandex_pay_balance
control,1,8.072424734533442,0,37,1,0,0,0,0,11.142440786763272,3640.976230403792
treatment1,0,25.87335823734033,1,32,0,1,0,1,0,9.582103229530643,5582.160734666866
control,1,1.8246229338475817,0,45,1,1,1,0,0,6.762679066928701,5045.434968204467
control,0,6.135908552633418,0,48,1,1,0,0,1,7.054482196585542,6369.389220068829
control,1,12.367190381733352,0,47,0,1,0,1,0,9.531640264368884,6693.019874059986
treatment1,0,27.424554786093076,1,40,0,0,0,1,0,9.872562608939205,4428.597138831002
treatment1,1,21.223537217630103,0,45,0,1,0,0,0,11.95367486734084,6644.988877846118
treatment1,0,23.396785880507657,1,52,0,1,0,0,1,12.02010271901048,6404.1450631281905
control,0,12.685617026499466,1,42,1,0,0,1,1,9.93437208280725,3767.9735728105925
control,1,2.9304768713078317,0,40,0,0,0,0,0,16.599722125769492,6723.723230815651
control,0,7.193504453509376,0,54,3,1,1,1,0,8.003595879738048,4720.618070598574
control,0,10.684549734017988,1,32,2,1,0,0,0,11.745815931790496,5579.265830420888
control,1,9.038581022389314,1,46,0,1,0,0,1,6.696639969028499,5656.524901458683
control,1,8.53938615387301,0,47,0,1,0,1,0,9.08119204751659,6060.725166445509
control,0,11.750461886821975,0,37,1,1,0,1,0,9.560082827757798,5327.706739243415
control,1,6.40662099719359,1,36,3,0,0,1,0,8.609020620759978,3219.649577010606
treatment1,1,26.911999251768275,0,57,1,0,0,0,0,8.670630078367466,4106.572141610546
treatment1,0,24.554752571732585,0,47,1,1,0,0,1,7.424104044972582,4838.363857360838
control,1,6.524034740141715,0,39,1,0,0,1,0,6.1275899871060036,3679.921545225042
treatment1,0,24.958831364103407,1,58,1,1,1,0,0,8.195438609458439,4793.701321448504
control,1,7.494264152103498,1,41,2,0,0,0,0,11.23441352185295,5241.72415195359
treatment1,1,27.86677923489868,1,39,1,0,0,1,0,11.41489530811623,4477.611948269931
treatment1,0,23.986343235410875,1,46,2,1,1,1,0,6.518825361659526,4740.974664972893
treatment1,0,20.886554712442315,0,29,2,0,0,1,0,3.410560006481163,3292.610309152351
control,0,8.452785558068847,0,39,1,1,0,1,0,9.825397720590693,5464.5148906455815
treatment1,1,22.118939971676344,1,38,2,0,0,0,0,7.8386907452911645,3970.1943083820943
treatment1,1,22.09906845861052,1,48,1,1,0,1,1,9.788362608911488,5598.083449789651
control,0,9.5389194994012,0,41,1,1,0,1,0,6.63298188205906,4882.361418713063
treatment1,1,25.609662377094676,0,33,3,0,1,0,0,10.249438641509164,4521.12134864092
control,0,2.8940721535815603,0,39,1,0,0,0,1,13.053957333328333,4708.469780559524
control,0,8.522012321089296,1,34,1,1,1,0,0,6.847326809781816,5131.188802815745
control,1,10.082908170271622,1,43,3,0,0,0,1,12.911092378693462,5762.456097274027
control,0,11.728860249879538,1,36,0,1,0,0,0,9.54499377450219,5949.6757193754665
control,0,12.273771794362661,1,35,0,0,1,1,0,12.29928430026176,5014.351309912536
treatment1,0,21.866077877078048,0,36,1,0,0,0,0,13.519565424454356,5664.673546849272
treatment1,0,22.024646065037327,0,31,1,1,1,0,1,12.132361941734978,5888.61714071104
control,0,5.843594170560783,0,52,1,1,1,1,1,14.895435553143619,7474.037287778291
treatment1,1,18.441521302448386,1,43,1,0,0,0,1,10.448766382405132,5144.65760675254
treatment1,1,12.762240210463299,0,44,3,1,1,0,1,8.871919598407546,5253.151457179773
control,1,7.549272884246364,1,47,1,1,0,0,0,11.87381722638326,6184.763130986579
control,0,9.719445610476864,0,47,2,0,0,0,0,12.010510978531734,4735.3880341094855
treatment1,1,28.152038403710748,1,39,0,1,0,0,0,11.446849971227506,6004.41597622673
treatment1,0,26.505183852118318,0,48,0,0,0,1,0,11.352577454786616,5338.860215946919
control,1,8.643436724923772,1,41,0,1,1,0,0,10.027857776567073,6072.3472794324525
treatment1,0,24.57686304065025,0,41,1,0,0,0,0,9.37102805362308,3787.214956570877
treatment1,1,22.46771148621294,1,40,3,1,0,0,0,8.36766677893053,5051.8799637957045
control,0,10.695423051749165,0,41,1,1,0,0,0,9.528341053954595,5081.516080886064
control,0,11.263771514170339,1,34,0,0,0,0,1,9.491929075641922,4799.415037718537
control,1,4.36718308203788,0,39,0,0,0,1,0,9.04605207681638,4626.246971053389
treatment1,0,24.10157989456988,1,48,0,1,0,0,0,9.523336994665357,5785.888332819646
control,0,8.593085163666009,1,42,1,0,1,0,0,5.2590280565886625,3837.99983021088
control,1,8.598407341215408,1,37,1,1,0,1,0,13.371583775349363,6220.6779771905385
treatment1,1,18.90125573118069,1,42,1,0,1,0,0,9.924943838849586,5018.314363958426
treatment1,0,27.270167206474287,1,46,1,1,1,0,0,10.399743863399763,5297.197103247598
treatment1,0,23.18177014620222,0,46,1,1,0,0,0,13.622897427619272,6937.90110488241
control,0,4.302405093249771,0,37,3,0,1,0,1,10.708753417517162,4460.703524867845
treatment1,0,21.153228972140976,1,45,1,1,0,1,0,11.460360089018184,5835.069529088153
treatment1,1,20.179555802252498,1,39,2,1,1,0,0,9.75377214668689,5192.850632032499
control,0,9.790972695371384,0,49,0,1,0,0,0,11.57837554478154,5857.2071445382435
control,0,12.699240573504222,0,31,1,0,0,0,1,10.271918234192928,5134.453866078082
treatment1,0,21.661309073528265,0,30,0,1,1,1,0,10.22913686093508,5574.76488662686
control,0,6.528941578143738,1,39,3,1,0,0,0,9.422204087717772,5709.13778897771
treatment1,1,21.41080421138306,1,46,1,1,0,0,1,9.539372173649763,6017.380372389063
treatment1,1,20.688316349920623,0,35,2,0,1,0,0,9.848811435617762,3740.8735383434646
control,0,3.5724361003239533,0,48,1,1,0,0,1,5.728491047451671,4200.426151186213
control,0,5.138105032779872,0,47,2,0,0,0,0,10.10700477506175,3462.08454816966
control,0,3.6824234549160835,1,40,0,1,0,1,1,9.306120384064002,4955.650285649991
treatment1,1,23.435257579771974,1,42,1,0,0,0,0,5.873684452077283,3319.9762678711218
treatment1,0,31.121147135449014,1,39,0,1,0,0,1,10.348549052465316,5203.929185100569
control,0,14.408923229273714,1,33,0,1,0,1,1,10.452851145667587,5391.304045874605
control,0,2.9026749005969528,1,46,0,1,0,0,1,9.523878417310197,5716.180034566739
control,1,10.454098740782554,0,41,1,1,1,0,0,4.752090301725159,4040.7014988765595
treatment1,0,23.603835856546993,1,43,0,1,0,1,1,14.593262178686253,6525.092884274459
control,1,9.227600935894229,0,37,1,0,0,0,1,8.115680939695222,4605.364985752174
control,0,7.651593696183812,0,37,1,0,1,0,0,11.619219947128947,4925.547139103288
treatment1,0,20.148452653257937,1,54,1,0,0,1,0,11.768412719973213,3743.74949180793
treatment1,0,24.75762384498126,0,36,1,1,0,1,0,11.802778034404987,5824.95991886136
control,0,9.523900166469547,1,42,1,1,1,1,0,8.787374157435012,5715.927210941383
control,1,4.655193808400111,1,40,2,1,0,0,1,10.52026909212379,5428.6105575381125
control,0,6.647710900339617,0,54,0,1,0,1,0,10.130287176976863,5157.307441900421
control,1,6.1282877106538525,1,42,1,0,1,0,1,3.8560942706967043,3442.002477143336
control,1,4.924248600603812,1,40,2,0,0,0,0,13.85218364367207,5925.778755658597
treatment1,0,27.12488750075573,1,40,3,1,1,0,0,9.195723432677608,5521.402782940917
control,1,10.965602640726104,1,41,1,0,1,1,0,7.635782186198647,3868.354182581307
control,1,2.7431950882237075,1,41,1,0,0,0,0,7.261780206924423,3978.314476732092
control,0,8.851241535502913,1,33,1,1,0,0,0,10.455698649256558,6146.47963560873
control,0,5.244395446535975,1,42,0,0,0,1,1,12.879656299218919,5760.638647091935
control,1,3.5211837336099,1,41,1,1,0,0,0,8.638105507281962,5284.876905320899
treatment1,0,19.34331185748757,1,43,0,0,1,0,0,7.712518707670604,4102.033366522578
treatment1,0,28.2125766070683,0,41,1,0,1,0,1,8.619063465817066,4529.395036008555
control,1,10.60580824553282,0,42,1,1,0,0,1,4.548029021000916,4491.258399661575
treatment1,0,25.639418984416377,1,27,2,0,0,0,0,10.29092653472163,5054.760152751797
control,0,8.723191151517845,0,34,4,0,1,1,0,12.472100211055546,5099.655896541665
treatment1,1,24.94652272440794,1,37,0,1,1,0,1,9.724602263363627,5210.675872070235
control,1,11.70011604207571,0,33,0,0,0,0,0,9.07845381307415,3450.025698074354
control,1,10.81393608388392,0,42,1,1,1,0,1,5.4813028443980825,4362.292257664299
control,1,5.18038515642526,1,43,1,1,1,1,0,9.22905735115876,5639.24295773333
treatment1,1,19.73877034488332,0,38,2,0,0,0,1,10.686479105947884,4576.009162639433
treatment1,0,21.018424446097274,1,41,1,0,1,1,0,6.4164306061892695,4011.1243405549253
treatment1,0,16.04561031240054,0,37,1,1,0,0,1,14.788718582298152,7424.906980438313
control,0,4.64104199885217,0,42,2,1,0,0,0,9.624166747436561,5709.656944724141
treatment1,1,26.626204653795945,1,39,1,0,1,0,1,12.387853344407434,4900.106303997819
treatment1,0,18.892278664960067,1,38,2,1,0,1,0,4.97045417345922,4241.9881777765895
treatment1,0,23.116947357768115,0,50,1,0,1,1,1,12.333953140810369,5161.520515150665
treatment1,1,25.035025646396715,1,38,0,1,0,0,1,9.165816743891668,4960.967266815641
control,1,7.629372501508006,0,35,0,0,0,0,1,13.765754480679025,5400.633236674381
treatment1,0,24.80786132270357,0,40,1,1,1,0,0,13.365810454696607,7626.135809343386
control,0,8.83033458762277,1,35,1,0,0,1,0,10.257319488430777,4659.790331311964
treatment1,1,9.256873208738524,0,34,0,1,0,0,0,10.063922142578841,5218.338741997946
control,1,8.76726639048246,1,31,0,0,0,0,0,9.410409690815225,2759.9432594281434
control,0,6.807517743202482,1,35,3,1,1,0,1,7.11961525264644,4634.784036259009
treatment1,1,25.15955216934202,1,40,1,1,0,0,0,10.712199923055408,5500.782372202061
control,1,8.54219110585488,1,50,0,1,0,1,0,7.533384894634814,6342.442465443331
control,0,7.30625613494621,0,49,0,0,1,0,0,10.704500652158123,3664.6064865162175
control,0,6.381307728526084,1,45,0,0,0,0,0,12.11096891139779,4587.993122733954
treatment1,0,21.521619195104265,1,42,0,0,0,0,1,9.114563667187625,4300.271782040787
treatment1,1,26.756496859210635,0,48,0,1,1,0,0,10.653728906881677,6632.478862345196
control,0,9.894982440958945,0,37,1,0,0,1,1,8.35788766686534,3588.2136094956777
control,0,4.859620857327796,1,60,1,0,1,0,0,8.879141271308711,4694.351243069677
treatment1,1,28.037005871290326,0,43,2,0,1,0,0,9.623149497048217,4761.079193155277
control,0,4.164026702524039,1,38,2,1,1,0,0,11.152939011734578,5871.199365485292
control,1,7.472563616261294,1,49,2,1,0,1,0,7.193908949647032,6307.461962422807
treatment1,1,12.62928866217252,0,30,0,0,1,0,1,8.967151495465277,1597.41612890556
treatment1,0,25.35706653247353,1,28,1,0,0,1,1,11.123537576015112,4577.500784583662
treatment1,0,26.171260207618893,1,43,2,0,1,1,0,14.960970320742826,6051.863262079722
treatment1,0,22.9095106576326,0,42,0,0,0,1,1,12.652891271198586,5565.160528866689
control,0,11.746554047780696,1,42,1,1,0,0,0,9.721778543522353,5622.1244228070045
control,0,8.57534146759514,1,48,0,1,0,0,0,9.156887755765124,5319.386078642938
control,1,5.395150823581132,0,32,1,0,0,0,1,12.086115780035403,3614.882711271499
control,0,2.6934603401127606,0,30,2,1,0,0,0,9.50595786219533,5462.722792697236
control,0,12.231175356332622,1,38,1,0,1,0,0,11.66523278522025,4476.815006551997
control,0,7.1215699237226495,0,45,0,0,0,0,0,5.7114225103431435,3617.7682759567883
treatment1,0,17.461659975482647,1,40,0,1,0,1,0,7.736171613420943,5270.07406548241
control,1,6.0421478967276245,0,44,1,1,0,0,0,12.85361395029019,6986.550917981389
control,1,3.0788795119066066,0,41,1,0,0,0,0,8.823782794631237,4409.123923062346
control,0,12.588646078853708,0,43,0,1,1,0,1,9.911898127185488,5368.2630127560315
control,1,7.656215197519348,0,46,1,1,0,1,0,9.477933340732244,5817.959765362709
control,0,8.324914680534546,0,34,3,0,1,0,0,9.800619898594645,4093.3020409398678
treatment1,1,24.527564783516,0,55,2,1,0,0,0,12.04150764074232,8000.186957552084
treatment1,0,20.3584375294339,1,34,1,1,0,0,0,7.736205645620574,5943.461983664089
control,0,11.505242988502337,0,36,1,0,0,0,0,12.549745665185359,4975.503820972057
treatment1,1,13.50933495287144,0,39,0,0,0,0,0,8.859718573106221,4490.5096145432435
treatment1,0,17.39980544007158,0,50,0,0,1,1,1,10.245242427230748,4395.035744847558
treatment1,1,22.715793816707716,1,34,1,0,0,0,0,7.983817613590417,3537.5833590956718
treatment1,1,19.121402792866412,0,34,1,0,1,0,0,8.925411897358934,3177.75114613821
treatment1,0,19.371332746304464,1,41,0,1,1,0,1,9.097892693657935,5043.805302446859
treatment1,0,18.772968353317058,0,36,1,0,1,0,1,10.457289280256795,4720.462436972183
treatment1,1,30.021686976801078,1,36,2,0,0,1,0,12.303435530491072,3765.1056571023073
control,1,11.682737004746901,1,42,1,1,0,0,1,11.166453798382763,6471.75375620425
control,0,5.294708215366022,0,44,2,1,1,1,1,7.904829485707342,4795.909929997747
treatment1,0,16.423089311067592,1,41,1,1,0,0,0,7.43955447801879,4872.539206708795
control,0,4.919885050722763,1,40,2,1,0,0,0,8.186168133657672,5129.414469914688
control,0,9.052603322720087,1,39,0,0,1,1,0,7.861670094573936,4558.673267691009
treatment1,1,26.012718376278528,1,35,2,0,1,0,1,10.030342631907947,5052.421806637423
control,0,8.457202042090591,1,32,0,0,0,1,0,14.560015233628468,5867.825597676571
treatment1,1,20.225874163993478,1,40,2,1,0,0,0,10.359478789629527,6598.055294740475
control,0,7.3595034232965055,1,44,0,0,0,1,1,10.01012119635418,4173.447658386215
control,0,8.56459300575774,1,45,2,0,0,0,0,11.073837209299032,4783.545595535514
treatment1,1,20.42438937686576,1,48,0,1,0,0,0,14.010448291326398,7054.180012695739
treatment1,1,21.794072059966183,1,37,1,1,1,0,0,10.531002244760664,5827.024054943811
treatment1,0,20.11040264188929,0,40,0,0,0,0,0,9.155709388359673,3949.204770908839
treatment1,0,24.239954846911743,0,43,0,0,0,0,0,6.300235263156831,3362.8305367328144
control,1,1.900277768645954,0,36,1,0,1,0,0,8.59755687408565,4701.389149064949
control,0,6.755614085644552,0,31,1,0,0,1,1,6.5487130055845535,2746.0234545945414
control,0,9.455871679621904,0,56,2,0,0,0,1,14.180454249106182,5896.7661470761805
treatment1,1,25.45683717104323,1,41,3,1,0,0,1,8.58833083025133,4888.0199861946085
treatment1,0,22.291221878970408,1,49,0,0,0,0,1,8.582222873730096,3785.681233334623
treatment1,1,24.426913946850313,0,34,0,0,0,0,0,9.208711618833869,4270.860691825617
treatment1,0,25.238492958849495,0,32,0,0,1,0,0,11.388530972579566,5060.112719589386
control,0,13.100663986999177,1,28,1,0,0,0,1,8.54977509354629,4737.923684362968
control,0,5.3856861903878075,0,40,0,1,0,0,0,7.6886557602880625,6038.606522225077
treatment1,1,24.29120801089078,0,43,2,1,0,0,0,10.438138028377022,5239.088637104596
control,0,3.7685015886873696,1,45,0,1,0,0,0,9.719893600956702,5356.947293874265
treatment1,1,18.79012496101756,1,33,2,0,1,0,0,7.659046228061501,2632.695673367049
control,0,12.566059387734034,1,42,0,0,0,0,0,9.529227454400509,3922.4139889554867
control,0,7.869129655493065,0,52,2,0,0,0,0,10.922009772472133,3593.800629644286
control,1,8.180319725087122,1,46,0,1,0,1,0,10.656290207930198,6122.819964304575
control,0,6.008342709740646,1,36,1,1,0,0,0,6.9476612314025745,4383.939631561698
treatment1,0,23.276516095096433,0,44,0,1,1,0,0,8.264489959188525,4904.421126791899
control,1,8.258949905235383,1,31,1,0,1,1,0,10.927744676648317,3700.285490496767
treatment1,0,22.770428307663764,1,41,0,0,0,1,0,9.14850076178465,4401.936121803414
treatment1,1,17.2405397686231,0,42,2,1,0,0,1,9.248498679172513,4983.415683813416
treatment1,0,24.41470201798873,1,29,3,1,0,0,0,10.64975092271444,6229.7856480089895
control,0,5.204612088760104,0,42,2,0,0,0,0,9.847733285425042,4147.168102618113
treatment1,1,14.947284183252405,0,39,1,0,0,0,1,8.975159883121371,4695.398878411144
control,0,9.655941663832715,0,40,0,1,1,1,0,12.718461438090046,6606.651879467272
control,0,8.480250123623817,0,38,0,0,0,0,0,13.169969135478095,5869.596352907116
control,0,6.4279506044869255,0,43,1,1,1,1,1,11.0808143519051,5665.8168104544275
treatment1,1,24.844339709341945,0,41,2,1,0,1,1,8.43746443165424,5245.711856875382
treatment1,0,19.230939242033863,1,46,1,0,0,1,0,4.707985122846903,3281.0910578905523
treatment1,1,23.070508407972945,1,52,1,1,0,0,0,8.843288401599112,6558.131124578585
treatment1,1,24.539909432998154,0,40,2,0,0,1,1,10.136039170230049,5021.535558100795
treatment1,0,23.63728775939124,0,36,0,1,1,0,0,11.62391701290044,5534.346711540704
control,1,9.115791958320745,0,52,1,1,0,0,0,9.974448938089743,7962.5438245350615
control,0,7.854053624696048,0,45,1,1,0,0,0,15.02390099138552,6629.814012240317
treatment1,1,26.498737858913504,1,46,0,1,1,0,0,8.158430588323803,6776.21322385747
control,1,14.998701050078033,1,43,2,1,1,0,1,8.071838741971826,5790.610553921744
control,0,6.979604878887388,0,36,0,1,0,1,0,8.37927190640478,4994.580485211664
treatment1,1,22.948240347814846,1,46,3,1,0,0,0,12.007524046732073,7759.0919307358345
treatment1,1,30.17558164164161,0,42,0,1,0,1,0,11.555857473673273,6283.221854049613
control,1,6.404046839435363,0,40,1,1,0,0,1,10.511469764607293,5639.384551455762
control,1,8.424007614424156,1,38,2,0,1,0,1,11.192049730524506,4790.394851435889
control,0,9.710329509451592,0,34,1,0,0,0,0,10.315076640026724,4852.900131112363
control,1,8.251827146060318,0,35,0,0,0,0,0,5.731897240572166,3238.232890484892
treatment1,1,16.83678046543747,0,39,1,1,1,0,1,9.403888386468548,5067.861560855075
control,1,0.9678757009913399,1,32,2,0,0,0,1,10.050097300029035,3447.3974299740335
control,0,9.794741911291926,0,44,1,1,1,0,1,11.19946675135658,5745.358205891248
control,0,6.450569084704482,1,38,1,1,1,0,0,10.828830345677154,5694.8811298535875
treatment1,1,23.862298353964906,1,49,2,1,0,0,0,12.105227853853851,7119.09554419238
control,0,10.466223191873473,1,45,0,1,1,0,0,8.98300288496379,4869.388408439694
control,0,9.795721162663401,1,53,0,1,0,0,0,10.741436487829926,5582.693210431854
treatment1,1,25.719440244566954,0,41,2,1,0,0,1,8.842991754450987,5563.8227963753425
control,0,9.611267059275855,0,57,0,1,0,0,0,9.982705083670112,5741.15793517467
treatment1,1,23.58838685070484,1,46,0,1,1,1,1,9.989864793338459,5869.03123158147
treatment1,0,23.719453214129558,0,36,2,1,0,0,0,13.867609154413747,7838.87406477702
control,0,11.127747688964023,1,44,1,0,0,1,0,10.882285609357501,4702.124127871895
control,0,2.9750331221338087,0,45,0,1,1,1,0,9.548190530058498,5497.203580404232
control,1,13.538580018474207,1,41,1,1,0,0,0,12.465751146558087,6381.106826312196
treatment1,1,26.027298732449587,0,40,1,1,0,1,0,11.880950383793591,6066.833434640589
treatment1,0,28.24255500306787,0,38,2,1,0,1,1,10.549761028384811,6768.496212350323
control,0,10.207752374393161,0,43,1,1,0,0,0,11.7244301125675,5972.003865135375
control,1,7.937080640331883,0,45,0,1,1,1,1,8.587060787342383,5118.4599326479565
control,1,10.093769322348937,0,32,5,0,0,0,0,8.506184439627354,3000.6280153606567
treatment1,1,17.654856783460293,0,44,0,1,1,1,0,7.5486209344820026,5389.936012322867
control,0,5.226982437522523,0,45,0,1,1,1,0,10.296452681648349,5367.301081757788
treatment1,0,27.15522858073298,0,42,0,0,1,0,1,10.861120482437144,4727.58715645404
treatment1,1,21.872257580802312,0,34,3,0,0,0,0,9.709532769523479,4640.4722432258095
control,1,8.581125102209086,0,37,0,1,0,0,0,8.88961226274476,4903.0483405176565
control,1,8.608305407708185,1,34,0,0,0,0,0,7.941609816825865,3439.809117657613
control,1,7.5016101569730065,0,36,1,0,0,0,0,9.990619449366884,4313.148459388187
treatment1,1,27.578447561101235,0,38,0,0,0,0,0,11.635466285851486,4876.5002703915125
control,0,9.845526703950632,1,46,1,1,0,0,1,13.479214023307204,6003.13427589194
treatment1,1,18.600065319556954,0,40,0,0,0,0,1,12.943292912172996,5385.381091494658
control,0,6.410015657248346,0,41,1,0,1,1,0,11.185474312960245,3826.552123348322
treatment1,1,19.58860970467851,0,31,1,0,1,1,0,8.110216123491165,3062.477413564384
treatment1,1,24.043792737008445,0,44,3,1,1,0,1,9.424735133270058,6223.039664353263
control,0,2.930141151129683,0,51,1,0,1,0,0,12.069682620035337,4530.064907574568
control,0,6.5686329218248325,0,42,1,0,0,0,1,8.621452013206286,3964.459559909867
treatment1,0,20.59351769130574,0,32,1,0,0,1,0,13.56784775321923,5292.882432935374
treatment1,0,17.689115910900775,1,51,0,1,0,1,0,6.970120745609568,4874.888760593531
treatment1,0,20.12184056905231,0,42,0,1,0,1,0,6.3798468460874656,5258.075034987279
control,0,9.991971307259293,0,40,0,0,1,0,0,9.51760408644257,3896.856444500825
control,0,6.34138340498084,0,45,1,0,1,0,1,6.88749796731228,3365.1691603323957
treatment1,1,18.927425846782818,1,35,2,0,0,0,0,8.718946329644078,3857.268282015915
control,1,10.878669148083848,1,34,0,0,0,0,0,9.042084028623554,3552.8263858931045
treatment1,0,26.474287226196175,0,34,0,0,1,0,1,4.911233693173968,3426.9165017979963
control,0,8.204052684042821,1,44,0,1,1,0,1,9.853940252468703,6071.307127271321
control,0,1.7502766848608395,0,55,1,0,1,0,0,7.64690932714683,3910.1847162986064
treatment1,0,28.010727424052742,0,35,1,1,1,0,0,12.107719349608107,5847.17552064687
treatment1,0,21.870405919687787,0,36,2,0,0,1,0,7.383244618632113,3804.371442932181
treatment1,0,20.418643073643455,0,49,1,0,0,1,1,9.413141985752896,4584.269426393337
treatment1,1,20.68447683144789,1,42,0,1,0,1,0,13.636514942109395,6533.940623310648
treatment1,0,25.74248188210968,1,41,0,0,1,0,1,8.178351778400804,4365.323012200265
treatment1,0,22.231624959314082,1,47,3,0,0,1,1,12.957092697921752,5213.119146182172
control,1,6.8355032017074,1,36,1,0,1,1,0,3.8938322589792107,2105.847326683512
treatment1,1,22.068411046160715,0,37,1,0,0,1,0,9.769473163896352,4371.811367086782
treatment1,0,27.4841782505032,1,36,1,0,1,0,0,8.296079460125675,4152.978841765126
treatment1,0,28.71694980064948,1,50,0,1,0,0,1,7.960747821922882,4632.0731154605965
control,1,7.402291751258649,1,27,0,0,0,0,1,12.216339460705193,2382.8462020275597
treatment1,0,21.289501975062723,0,42,1,0,1,0,0,13.151767268791584,5059.924112043305
control,0,7.553639947958044,0,55,1,1,1,0,1,8.983673080451643,5879.588652040071
treatment1,1,24.93935420312498,1,42,0,0,1,0,0,10.768520513139093,5232.724691275972
control,0,5.310318291236408,1,47,0,1,0,1,0,7.444516214735312,5285.628568916503
treatment1,0,24.29717270793926,1,49,3,1,0,0,1,10.586654960262367,5845.56095176882
control,0,6.154158847342065,1,46,1,1,0,1,0,7.215400717445793,5576.365595667896
treatment1,1,19.722960366091524,0,53,0,1,0,0,0,8.464267971344512,7092.888389503564
treatment1,1,25.78200604938376,1,44,3,1,0,0,1,8.7387984120708,5245.055546753917
treatment1,0,23.54406612446212,1,53,1,1,1,0,0,8.861266880025443,5715.63740928034
control,0,8.387690602897992,0,40,0,1,1,1,0,11.937392236783047,5870.156487094057
treatment1,0,30.929655859372573,0,38,0,0,0,1,0,10.674659003249554,5016.56764019306
control,1,5.644105320370184,0,39,0,0,0,0,0,9.727017218913739,5036.598340715533
treatment1,1,32.942930035638234,0,39,1,0,0,1,1,10.633884890524053,5066.7859531344875
control,0,4.65314049682352,0,38,0,1,1,0,0,10.228745969988836,5715.738705061483
treatment1,0,27.753845265277917,0,54,0,1,0,0,0,11.746710416839033,5619.221253502043
control,0,11.581317973627028,0,36,2,1,1,1,1,14.76743291292773,6671.2781727107695
control,1,3.6780486736149576,0,36,1,0,0,1,1,12.847786663164669,3775.6639771948485
treatment1,0,26.58872495552009,1,47,1,0,1,0,0,9.724863587536793,4653.2175090620885
control,0,11.41168352353526,1,43,0,0,1,0,0,9.190421003095357,4645.053879947095
control,0,3.1292395005888665,0,54,1,0,0,0,1,11.864870763510302,5100.538565815075
treatment1,0,18.262976608321882,0,49,0,0,1,0,0,5.060247882904902,3825.3378719918583
treatment1,1,25.653208712104,1,36,0,0,0,0,0,9.248900965973215,3734.1688172243457
treatment1,1,25.129366975530708,0,43,1,1,0,0,1,10.830535075981327,5340.315189238482
treatment1,0,22.796736704020578,0,44,1,1,1,0,1,13.564107448690404,6365.753347977562
control,0,2.8601425286523843,1,34,3,0,1,1,0,9.675931515257572,5007.635225543208
treatment1,0,27.97755758656214,1,45,1,1,0,0,0,7.403502812016807,4687.772136532267
control,0,9.1217494974978,0,37,0,1,0,1,1,5.766255930561623,4575.2442386116045
treatment1,0,27.42163659566897,1,30,0,1,0,0,0,5.284388146407216,4174.590193613837
treatment1,1,22.06712181038671,1,28,1,1,1,0,0,10.245392250394612,6012.11294164481
treatment1,0,24.454963808004138,0,42,1,1,1,1,0,11.054234253002102,5545.455857035974
treatment1,1,27.589724760192055,1,39,0,0,1,1,1,9.039722902973072,4368.283725329496
treatment1,1,23.601172163796793,1,31,2,0,0,0,1,14.166618305576097,3799.7758457479026
treatment1,0,20.778388091275474,1,47,1,0,0,0,0,6.029377501322798,4072.7010314332947
treatment1,1,20.619751364066175,1,42,0,1,0,0,0,11.643814507857995,6122.3132776028415
control,0,2.416352745076362,1,34,0,1,0,0,0,7.428530573691077,4555.003367466115
treatment1,1,23.050932925252862,1,48,1,1,1,0,0,4.576519014134312,4590.505393137418
control,0,6.252756974994934,0,49,1,1,0,0,0,9.613738675173723,5234.858907577296
treatment1,0,21.62503471383129,0,39,0,1,0,0,1,10.790327087213484,6451.283228215746
control,0,11.037550260389192,0,50,0,0,0,1,0,14.759990821187506,5138.244150464394
treatment1,1,29.28163139669035,1,46,0,1,1,0,0,11.318446171766652,6162.692112194704
treatment1,1,15.378589265199995,1,46,1,1,0,1,0,8.981885470223212,6196.884919105382
treatment1,0,14.110870024157572,0,41,2,0,0,1,0,9.810032785273625,3983.4903719109125
treatment1,0,24.12519871551281,1,42,1,1,0,1,1,11.926820146900564,6407.507138583562
control,0,4.046232434702935,1,42,2,1,0,1,0,14.341234101929913,6513.445085828766
treatment1,1,26.899246127632303,1,42,1,1,1,0,1,10.466181825417246,5447.868396983579
treatment1,0,28.250509434708373,1,44,1,1,0,0,0,6.038219039019207,5884.183892743038
treatment1,0,23.848938517843756,1,45,0,1,0,1,0,6.59856604854747,5487.684690551095
treatment1,1,15.840131351322917,0,55,3,1,0,1,0,10.438315048644476,7299.482921926894
control,0,11.44913749653388,1,42,3,1,0,0,0,11.216060241836816,5976.688165691969
control,1,3.8994953207082794,1,37,1,0,1,1,0,11.589305850137805,5011.829743525544
treatment1,0,23.420933094269103,0,25,0,1,0,1,0,10.726705253682905,5492.233760837314
treatment1,0,26.354469517930568,1,32,1,1,1,0,0,12.059872017453134,6617.844779211032
treatment1,1,22.999201236738674,1,31,1,0,0,0,0,10.19627326885635,5143.392272475657
control,0,11.635739307010436,0,41,0,0,0,0,0,10.660305912958016,4449.962672052905
treatment1,1,24.130555863562392,1,36,0,0,0,0,1,12.538647135648011,4986.966697046393
treatment1,0,18.134392176738572,0,48,1,0,0,1,1,12.829571706619973,5631.627868830831
control,0,5.890948143529381,1,39,1,1,0,0,1,9.670471906577918,5278.325567722962
control,0,10.689419285356957,0,47,3,1,0,0,1,11.663883623096131,6106.00410635619
treatment1,1,23.490242594049505,1,40,0,1,0,0,0,10.675870182571423,6236.303410836996
